Year_Month,Total_Applications,LC_Count,ZC_Count,DP_Count,Avg_Temperature_C,Rainy_Season_Flag,Election_Year_Flag
2021-01,426,226,183,17,26.13,0,0
2021-02,73,36,33,4,27.19,0,0
2021-03,118,91,13,14,29.09,0,0
2021-04,116,102,9,5,32.12,0,0
2021-05,69,62,6,1,32.62,0,0
2021-06,34,29,2,3,30.57,1,0
2021-07,15,12,3,0,29.22,1,0
2021-08,16,12,4,0,28.16,1,0
2021-09,19,13,5,1,28.68,1,0
2021-10,25,19,4,2,28.15,1,0
2021-11,38,31,4,3,27.53,0,0
2021-12,24,16,7,1,26.12,0,0
2022-01,408,209,178,21,26.26,0,0
2022-02,77,45,29,3,27.15,0,0
2022-03,106,87,12,7,29.1,0,0
2022-04,104,91,3,10,31.39,0,0
2022-05,84,77,3,4,33.01,0,1
2022-06,38,33,4,1,29.94,1,0
2022-07,12,7,4,1,28.74,1,0
2022-08,16,9,5,2,28.7,1,0
2022-09,27,16,11,0,28.24,1,0
2022-10,39,28,6,5,27.72,1,0
2022-11,39,26,12,1,26.88,0,0
2022-12,25,17,7,1,26.41,0,0
2023-01,479,239,211,29,26.45,0,0
2023-02,90,47,41,2,26.38,0,0
2023-03,129,104,18,7,28.85,0,0
2023-04,96,80,11,5,31.59,0,0
2023-05,110,96,11,3,33.06,0,0
2023-06,41,33,6,2,30.8,1,0
2023-07,19,15,4,0,29.2,1,0
2023-08,13,11,2,0,28.68,1,0
2023-09,30,19,10,1,28.45,1,0
2023-10,48,40,8,0,28.29,1,0
2023-11,28,18,10,0,27.1,0,0
2023-12,35,26,7,2,25.99,0,0
2024-01,542,289,234,19,26.6,0,0
2024-02,86,44,41,1,27.31,0,0
2024-03,112,94,9,9,29.01,0,0
2024-04,142,114,20,8,31.9,0,0
2024-05,97,81,7,9,33.07,0,0
2024-06,40,34,3,3,29.79,1,0
2024-07,15,9,6,0,29.25,1,0
2024-08,12,9,2,1,28.43,1,0
2024-09,22,13,7,2,28.95,1,0
2024-10,47,31,13,3,28.48,1,0
2024-11,52,38,13,1,27.09,0,0
2024-12,23,19,4,0,26.03,0,0
2025-01,513,222,267,24,26.25,0,0
2025-02,105,45,59,1,26.95,0,0
2025-03,119,98,14,7,28.42,0,0
2025-04,122,104,11,7,31.51,0,0
2025-05,110,92,11,7,32.75,0,1
2025-06,48,40,3,5,30.38,1,0
2025-07,22,18,4,0,28.95,1,0
2025-08,9,5,2,2,28.57,1,0
2025-09,27,23,4,0,28.53,1,0
2025-10,40,31,7,2,28.33,1,0
2025-11,49,30,13,6,27.6,0,0
2025-12,30,22,6,2,25.97,0,0
2026-01,563,263,275,25,25.72,0,0
2026-02,95,49,44,2,26.72,0,0
2026-03,162,127,23,12,28.0,0,0
2026-04,163,137,18,8,32.09,0,0
2026-05,115,97,8,10,32.09,0,0
2026-06,44,40,3,1,30.32,1,0
2026-07,30,21,8,1,28.89,1,0
2026-08,16,11,5,0,28.21,1,0
