time,monthly_rainfall
2021-01-31,192.4
2021-02-28,104.89999999999999
2021-03-31,98.8
2021-04-30,30.7
2021-05-31,71.6
2021-06-30,268.6
2021-07-31,328.4
2021-08-31,220.1
2021-09-30,582.4
2021-10-31,271.0
2021-11-30,81.7
2021-12-31,108.9
2022-01-31,54.8
2022-02-28,61.7
2022-03-31,69.7
2022-04-30,143.8
2022-05-31,147.5
2022-06-30,217.4
2022-07-31,384.0
2022-08-31,376.2
2022-09-30,239.7
2022-10-31,408.1
2022-11-30,191.2
2022-12-31,137.7
2023-01-31,255.20000000000002
2023-02-28,77.8
2023-03-31,21.8
2023-04-30,167.2
2023-05-31,172.5
2023-06-30,194.3
2023-07-31,320.9
2023-08-31,140.1
2023-09-30,279.0
2023-10-31,160.5
2023-11-30,114.4
2023-12-31,84.6
2024-01-31,19.3
2024-02-29,6.3999999999999995
2024-03-31,23.400000000000002
2024-04-30,14.1
2024-05-31,211.3
2024-06-30,324.0
2024-07-31,375.2
2024-08-31,231.9
2024-09-30,351.0
2024-10-31,565.0
2024-11-30,102.4
2024-12-31,193.0
2025-01-31,91.7
2025-02-28,144.4
2025-03-31,95.0
2025-04-30,19.8
2025-05-31,142.3
2025-06-30,292.4
2025-07-31,287.3
2025-08-31,316.8
2025-09-30,410.40000000000003
2025-10-31,320.3
2025-11-30,280.6
2025-12-31,124.1
2026-01-31,65.8
2026-02-28,41.6
2026-03-31,11.0
2026-04-30,9.5
2026-05-31,68.4
2026-06-30,188.1
