application_no,date_received,date_released,year,month,quarter,application_type,current_stage,assigned_staff,barangay,purpose,zone_classification,latitude,longitude,lot_area_sqm,floor_area_sqm,no_of_floors,total_fee_php,processing_days,is_compliant,monthly_rainfall_mm,inflation_rate_pct,working_days_month
ZA-2018-0001,2018-01-10,2018-02-06,2018,1,1,Development Permit,Released,"Garduque, H.",Lumbang,Resort/Tourism Facility,Residential Low Density (R-1),13.872703,121.225382,539,444.0,1,2458.92,19,0,11.2,5.39,22
ZA-2018-0002,2018-01-11,2018-01-29,2018,1,1,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay I,Commercial Building Construction,Commercial (C-2),13.876446,121.24402,595,531.0,1,1427.96,12,1,22.1,4.82,22
ZA-2018-0003,2018-01-12,2018-02-12,2018,1,1,Locational Clearance,Released,"Garduque, H.",Bolbok,Apartment/Boarding House,Commercial (C-1),13.857937,121.238963,287,245.0,2,1333.06,21,0,11.0,5.47,22
ZA-2018-0004,2018-01-16,2018-02-07,2018,1,1,Locational Clearance,Released,"Castillo, J.",Lumbang,Medical Clinic,Residential Medium Density (R-2),13.84719,121.227981,244,91.0,1,1236.3,16,1,15.2,5.07,22
ZA-2018-0005,2018-01-22,2018-02-09,2018,1,1,Locational Clearance,Released,"Garduque, H.",Lumbang,Warehouse/Storage Facility,Residential Medium Density (R-2),13.869269,121.188637,1016,499.0,1,3969.06,14,0,28.7,5.21,22
ZA-2018-0006,2018-01-25,2018-02-06,2018,1,1,Locational Clearance,Released,"Bautista, R.",Halang,Food Establishment,Residential Low Density (R-1),13.889894,121.248727,908,491.0,1,2958.37,8,1,11.3,5.64,22
ZA-2018-0007,2018-01-25,2018-03-02,2018,1,1,Development Permit,Released,"Tipan, S.",Poblacion Barangay I,Commercial Complex Development,Commercial (C-2),13.842979,121.193705,2063,914.0,1,5804.15,26,1,0.0,4.84,22
ZA-2018-0008,2018-01-26,2018-03-27,2018,1,1,Development Permit,Released,"Castillo, J.",Mataas na Lupa,Resort/Tourism Facility,Agricultural (A),13.853406,121.240329,2585,2249.0,1,6555.73,42,1,17.3,5.4,22
ZA-2018-0009,2018-01-29,2018-02-19,2018,1,1,Locational Clearance,Released,"Tipan, S.",Lodlod,Commercial Building Construction,Residential Low Density (R-1),13.871972,121.218619,281,251.0,1,1077.72,15,1,0.0,5.22,22
ZA-2018-0010,2018-01-31,2018-03-07,2018,1,1,Development Permit,Released,"Garduque, H.",Mataas na Lupa,Reclamation Project,Residential Medium Density (R-2),13.824627,121.247528,380,157.0,1,2579.33,25,1,39.3,5.03,22
ZA-2018-0011,2018-01-31,2018-03-27,2018,1,1,Development Permit,Released,"Cruz, M.",Calumpang,Industrial Plant Expansion,Commercial (C-2),13.862958,121.217435,786,621.0,2,2935.87,39,1,5.4,5.25,22
ZA-2018-0012,2018-02-05,2018-02-27,2018,2,1,Locational Clearance,Released,"Cruz, M.",Sampaguita,Place of Worship,Open Space (OS),13.88897,121.234761,411,155.0,1,1383.06,16,0,31.9,5.8,20
ZA-2018-0013,2018-02-05,2018-03-08,2018,2,1,Development Permit,Released,"Bautista, R.",Tambo,New Residential Subdivision,Residential Low Density (R-1),13.85967,121.176484,451,236.0,1,2538.35,23,1,32.4,4.88,20
ZA-2018-0014,2018-02-07,2018-02-16,2018,2,1,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay II,Place of Worship,Agricultural (A),13.874241,121.215259,609,399.0,1,2021.56,7,1,30.8,5.09,20
ZA-2018-0015,2018-02-12,2018-02-27,2018,2,1,Zoning Certificate,Released,"Garduque, H.",Iligan,Business Permit Application,Commercial (C-1),13.876669,121.236961,662,,1,2036.25,11,0,38.0,5.55,20
ZA-2018-0016,2018-02-16,2018-03-13,2018,2,1,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay II,Mini-Grocery/Sari-Sari Store,Commercial (C-1),13.82234,121.236065,983,388.0,1,3935.66,17,0,16.4,4.95,20
ZA-2018-0017,2018-02-16,2018-03-12,2018,2,1,Locational Clearance,Released,"Garduque, H.",Bulacnin,Commercial Building Construction,Residential Low Density (R-1),13.820511,121.192963,349,276.0,1,1461.46,16,1,24.9,5.21,20
ZA-2018-0018,2018-02-16,2018-04-18,2018,2,1,Development Permit,Released,"Tipan, S.",Calumpang,Mixed-Use Development,Residential Medium Density (R-2),13.828558,121.230882,250,170.0,1,2172.94,43,0,30.1,5.21,20
ZA-2018-0019,2018-02-22,2018-03-01,2018,2,1,Locational Clearance,Released,"Castillo, J.",Poblacion Barangay I,Residential House Construction,Residential Low Density (R-1),13.875031,121.175427,902,775.0,1,3082.81,5,0,38.1,4.89,20
ZA-2018-0020,2018-02-22,2018-03-06,2018,2,1,Locational Clearance,Released,"Castillo, J.",Sampaguita,Food Establishment,Residential Low Density (R-1),13.889723,121.247879,527,267.0,1,1599.85,8,1,27.5,5.04,20
ZA-2018-0021,2018-02-26,2018-03-02,2018,2,1,Locational Clearance,Released,"Bautista, R.",Santol,Place of Worship,Residential Low Density (R-1),13.84189,121.24977,461,351.0,1,2087.58,4,1,0.3,4.54,20
ZA-2018-0022,2018-03-02,2018-04-09,2018,3,1,Development Permit,Released,"Cruz, M.",Halang,Memorial Park Development,Commercial (C-1),13.87444,121.222361,614,440.0,2,2608.69,26,1,24.7,4.86,22
ZA-2018-0023,2018-03-05,2018-05-02,2018,3,1,Development Permit,Released,"Cruz, M.",Sico,New Residential Subdivision,Commercial (C-1),13.898718,121.202747,465,318.0,1,2215.61,42,1,24.4,5.31,22
ZA-2018-0024,2018-03-07,2018-03-26,2018,3,1,Zoning Certificate,Released,"Garduque, H.",Tambo,Business Permit Application,Agricultural (A),13.897455,121.184842,2319,,1,7850.71,13,1,33.1,5.34,22
ZA-2018-0025,2018-03-09,2018-03-20,2018,3,1,Zoning Certificate,Released,"Cruz, M.",Pinagtongulan,Property Sale/Transfer,Residential Low Density (R-1),13.8305,121.172602,655,,1,2285.74,7,1,30.9,5.41,22
ZA-2018-0026,2018-03-09,2018-04-13,2018,3,1,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay I,Warehouse/Storage Facility,Residential Medium Density (R-2),13.854424,121.186042,471,174.0,1,1703.57,25,1,16.9,5.2,22
ZA-2018-0027,2018-03-09,2018-05-04,2018,3,1,Development Permit,Released,"Bautista, R.",Poblacion Barangay I,Resort/Tourism Facility,Institutional (Inst),13.82093,121.175796,222,173.0,1,2131.23,40,1,21.2,4.47,22
ZA-2018-0028,2018-03-13,2018-04-06,2018,3,1,Locational Clearance,Released,"Garduque, H.",Pinagkawitan,Commercial Building Construction,Agricultural (A),13.82317,121.208441,1900,1362.0,1,4634.73,18,0,24.1,5.08,22
ZA-2018-0029,2018-03-13,2018-04-26,2018,3,1,Development Permit,Released,"Castillo, J.",Lodlod,New Residential Subdivision,Residential Low Density (R-1),13.846117,121.211417,1638,1182.0,1,6275.89,32,1,24.3,5.0,22
ZA-2018-0030,2018-03-13,2018-03-27,2018,3,1,Locational Clearance,Released,"Castillo, J.",Bulacnin,Food Establishment,Residential Low Density (R-1),13.836012,121.183399,299,192.0,1,1255.97,10,0,32.1,4.96,22
ZA-2018-0031,2018-03-14,2018-04-04,2018,3,1,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay I,Warehouse/Storage Facility,Residential Medium Density (R-2),13.847156,121.235186,1219,1003.0,1,3733.3,15,0,47.8,5.26,22
ZA-2018-0032,2018-03-19,2018-03-29,2018,3,1,Locational Clearance,Released,"Castillo, J.",Parang,Poultry/Livestock Farm,Residential Medium Density (R-2),13.824828,121.189768,1391,857.0,1,2856.16,8,1,12.5,5.04,22
ZA-2018-0033,2018-03-23,2018-04-23,2018,3,1,Locational Clearance,Released,"Castillo, J.",Pinagkawitan,Place of Worship,Residential Medium Density (R-2),13.838276,121.249707,671,402.0,1,2410.16,21,1,28.6,5.24,22
ZA-2018-0034,2018-03-26,2018-03-28,2018,3,1,Zoning Certificate,Released,"Bautista, R.",Munting Pulo,Estate Settlement,Residential Low Density (R-1),13.840615,121.20701,670,,1,2377.79,2,1,34.0,5.39,22
ZA-2018-0035,2018-03-26,2018-05-01,2018,3,1,Locational Clearance,Released,"Garduque, H.",Poblacion Barangay I,Subdivision Development,Residential Low Density (R-1),13.823209,121.239363,387,196.0,1,1407.04,26,0,4.6,5.8,22
ZA-2018-0036,2018-03-30,2018-05-10,2018,3,1,Locational Clearance,Released,"Cruz, M.",Calumpang,Subdivision Development,Residential Low Density (R-1),13.842146,121.217388,467,385.0,1,1291.95,29,1,50.1,5.61,22
ZA-2018-0037,2018-04-03,2018-05-25,2018,4,2,Development Permit,Released,"Garduque, H.",Bolbok,Commercial Complex Development,Commercial (C-1),13.839003,121.247712,360,263.0,1,2389.66,38,1,39.9,5.11,21
ZA-2018-0038,2018-04-06,2018-04-24,2018,4,2,Locational Clearance,Released,"Tipan, S.",Bulacnin,Warehouse/Storage Facility,Residential Medium Density (R-2),13.848739,121.217436,216,178.0,1,824.93,12,1,29.6,4.86,21
ZA-2018-0039,2018-04-09,2018-05-09,2018,4,2,Locational Clearance,Released,"Bautista, R.",Talisay,Subdivision Development,Agricultural (A),13.856303,121.188884,2260,1727.0,1,8217.08,22,0,3.6,5.28,21
ZA-2018-0040,2018-04-10,2018-04-26,2018,4,2,Zoning Certificate,Released,"Garduque, H.",Santo Niño,Building Permit Requirement,Commercial (C-1),13.876542,121.183363,433,,1,1138.03,12,1,47.7,5.57,21
ZA-2018-0041,2018-04-10,2018-04-26,2018,4,2,Locational Clearance,Released,"Bautista, R.",Bulacnin,Place of Worship,Commercial (C-2),13.836467,121.178954,1783,1397.0,1,5257.68,12,0,33.9,5.19,21
ZA-2018-0042,2018-04-11,2018-04-30,2018,4,2,Locational Clearance,Released,"Cruz, M.",Kayumanggi,Residential House Construction,Agricultural (A),13.89471,121.195292,7605,2461.0,1,14733.9,13,0,26.2,5.2,21
ZA-2018-0043,2018-04-17,2018-06-11,2018,4,2,Development Permit,Released,"Castillo, J.",Lodlod,Mixed-Use Development,Commercial (C-1),13.859108,121.223349,528,433.0,4,2893.58,39,1,51.6,4.89,21
ZA-2018-0044,2018-04-20,2018-05-21,2018,4,2,Development Permit,Released,"Cruz, M.",Calumpang,Mixed-Use Development,Residential Low Density (R-1),13.8555,121.239451,669,590.0,1,3259.77,21,1,43.2,4.92,21
ZA-2018-0045,2018-04-20,2018-06-04,2018,4,2,Locational Clearance,Released,"Bautista, R.",San Jose,Place of Worship,Residential Low Density (R-1),13.822431,121.244476,485,325.0,1,1459.03,31,1,51.6,5.56,21
ZA-2018-0046,2018-04-20,2018-04-30,2018,4,2,Locational Clearance,Released,"Bautista, R.",Mabini,Subdivision Development,Commercial (C-1),13.872628,121.249953,678,364.0,4,2785.86,6,1,50.1,5.12,21
ZA-2018-0047,2018-04-26,2018-05-31,2018,4,2,Locational Clearance,Released,"Castillo, J.",Poblacion Barangay II,Commercial Building Construction,Commercial (C-1),13.846163,121.223407,584,434.0,2,1966.87,25,1,44.0,5.41,21
ZA-2018-0048,2018-05-03,2018-06-06,2018,5,2,Locational Clearance,Released,"Bautista, R.",Calumpang,Poultry/Livestock Farm,Residential Medium Density (R-2),13.820461,121.195967,425,336.0,1,1379.74,24,1,100.8,4.71,22
ZA-2018-0049,2018-05-03,2018-06-08,2018,5,2,Locational Clearance,Released,"Cruz, M.",Mabini,Car Wash,Commercial (C-1),13.838182,121.175856,317,180.0,1,1493.54,26,1,144.6,5.5,22
ZA-2018-0050,2018-05-03,2018-06-21,2018,5,2,Locational Clearance,Released,"Castillo, J.",Iligan,Gasoline Station,Commercial (C-1),13.858335,121.172051,349,184.0,4,1541.71,35,1,102.6,4.74,22
ZA-2018-0051,2018-05-04,2018-05-10,2018,5,2,Locational Clearance,Released,"Bautista, R.",Latag,Place of Worship,Residential Low Density (R-1),13.885039,121.22745,1015,629.0,1,2435.8,4,0,131.4,5.28,22
ZA-2018-0052,2018-05-07,2018-06-20,2018,5,2,Development Permit,Released,"Castillo, J.",Pinagtongulan,Memorial Park Development,Residential Low Density (R-1),13.828114,121.20887,519,174.0,1,2374.31,32,1,106.9,4.9,22
