year_month,lc_volume,avg_rainfall_mm,inflation_rate_pct,working_days,is_january
2018-01,6,14.7,5.24,22,1
2018-02,7,24.3,5.07,20,0
2018-03,8,27.1,5.27,22,0
2018-04,7,34.1,5.23,21,0
2018-05,9,119.4,5.09,22,0
2018-06,1,173.5,5.3,21,0
2018-07,4,209.1,5.03,23,0
2018-08,5,200.1,5.31,22,0
2018-09,5,166.6,5.21,21,0
2018-10,5,127.2,4.88,23,0
2018-11,4,78.9,5.11,21,0
2018-12,5,47.3,5.29,20,0
2019-01,9,16.8,2.75,22,1
2019-02,4,29.1,2.31,20,0
2019-03,9,35.2,2.54,22,0
2019-04,8,40.7,2.43,21,0
2019-05,2,122.6,2.17,22,0
2019-06,4,193.2,2.42,21,0
2019-07,10,208.4,2.59,23,0
2019-08,2,202.6,2.86,22,0
2019-09,3,165.7,2.33,21,0
2019-10,4,119.8,2.64,23,0
2019-11,6,76.4,2.59,21,0
2019-12,2,38.2,2.46,20,0
2020-01,13,24.7,2.32,22,1
2020-02,6,24.5,2.56,20,0
2020-03,8,31.7,2.29,22,0
2020-04,12,33.1,2.4,21,0
2020-05,6,119.6,2.37,22,0
2020-07,3,212.0,2.47,23,0
2020-08,8,194.5,2.46,22,0
2020-09,7,157.0,2.32,21,0
2020-10,9,125.8,2.49,23,0
2020-11,8,81.2,2.44,21,0
2020-12,3,29.1,2.3,20,0
2021-01,14,22.1,3.77,22,1
2021-02,4,19.5,3.93,20,0
2021-03,8,25.0,3.89,22,0
2021-04,6,34.4,4.04,21,0
2021-05,1,140.9,3.59,22,0
2021-06,5,192.7,4.03,21,0
2021-07,2,210.5,3.74,23,0
2021-08,4,192.5,4.05,22,0
2021-09,3,174.8,3.9,21,0
2021-10,4,131.4,3.92,23,0
2021-11,13,81.4,3.88,21,0
2021-12,5,32.1,3.84,20,0
2022-01,13,19.7,5.95,22,1
2022-02,7,20.8,5.78,20,0
2022-03,10,22.5,5.71,22,0
2022-04,4,26.4,5.67,21,0
2022-05,4,112.8,5.69,22,0
2022-06,8,182.9,5.77,21,0
2022-07,10,216.2,5.93,23,0
2022-08,7,197.3,5.79,22,0
2022-09,6,151.6,5.58,21,0
2022-10,9,124.7,5.56,23,0
2022-11,6,76.2,5.79,21,0
2022-12,5,44.9,5.74,20,0
2023-01,7,14.2,5.98,22,1
2023-02,8,18.5,5.98,20,0
2023-03,8,28.3,5.85,22,0
2023-04,9,38.8,5.89,21,0
2023-05,6,129.7,6.21,22,0
2023-06,4,188.6,6.02,21,0
2023-07,5,213.9,5.94,23,0
2023-08,7,206.2,5.82,22,0
2023-09,5,147.8,6.04,21,0
2023-10,9,141.5,6.02,23,0
2023-11,12,75.4,6.0,21,0
2023-12,4,46.6,5.97,20,0
2024-01,7,25.2,3.36,22,1
2024-02,5,30.6,3.59,20,0
2024-03,9,18.7,3.1,22,0
2024-04,9,28.0,3.15,21,0
2024-05,11,114.4,3.44,22,0
2024-06,7,181.5,3.36,21,0
2024-07,8,209.3,3.48,23,0
2024-08,10,190.6,3.12,22,0
2024-09,6,164.2,3.34,21,0
2024-10,6,126.8,3.2,23,0
2024-11,7,70.4,3.24,21,0
2024-12,3,41.8,3.28,20,0
